time,mV
0.0011480,-0.001599952
0.0011493,0.000824105
0.0011507,0.001412997
0.0011520,0.002634043
0.0011533,0.003751658
0.0011547,0.00697071
0.0011560,0.007922676
0.0011573,0.008476562
0.0011587,0.011271938
0.0011600,0.006051308
0.0011613,0.002861496
0.0011627,0.003357447
0.0011640,0.000514246
0.0011653,-0.002720758
0.0011667,-0.010011046
0.0011680,-0.014594326
0.0011693,-0.014766445
0.0011707,-0.016417323
0.0011720,-0.017063723
0.0011733,-0.022676786
0.0011747,-0.021597018
0.0011760,-0.022514494
0.0011773,-0.022802657
0.0011787,-0.023122404
0.0011800,-0.020513492
0.0011813,-0.016971523
0.0011827,-0.01183831
0.0011840,-0.008659092
0.0011853,-0.006729336
0.0011867,0.000494653
0.0011880,0.002060623
0.0011893,0.005379415
0.0011907,0.010339629
0.0011920,0.013346531
0.0011933,0.011866982
0.0011947,0.008971945
0.0011960,0.014744469
0.0011973,0.015428646
0.0011987,0.016190317
0.0012000,0.018068483
0.0012013,0.016547172
0.0012027,0.014800309
0.0012040,0.006868453
0.0012053,0.005895025
0.0012067,0.004746365
0.0012080,-0.003942413
0.0012093,-0.013079898
0.0012107,-0.018874896
0.0012120,-0.02296455
0.0012133,-0.028315569
0.0012147,-0.028093456
0.0012160,-0.030656581
0.0012173,-0.037183703
0.0012187,-0.037225173
0.0012200,-0.033787469
0.0012213,-0.035225226
0.0012227,-0.028531214
0.0012240,-0.023149339
0.0012253,-0.022595816
0.0012267,-0.019953116
0.0012280,-0.015301779
0.0012293,-0.005714065
0.0012307,0.004027518
0.0012320,0.014197729
0.0012333,0.024991577
0.0012347,0.02843816
0.0012360,0.033923992
0.0012373,0.041455238
0.0012387,0.043473772
0.0012400,0.043785668
0.0012413,0.043232247
0.0012427,0.042382066
0.0012440,0.036687456
0.0012453,0.026907384
0.0012467,0.018862049
0.0012480,0.010647824
0.0012493,0.002773095
0.0012507,-0.0037924
0.0012520,-0.012317123
0.0012533,-0.024744384
0.0012547,-0.036281864
0.0012560,-0.048896454
0.0012573,-0.057005841
0.0012587,-0.061872472
0.0012600,-0.062902493
0.0012613,-0.063100117
0.0012627,-0.069646814
0.0012640,-0.068843623
0.0012653,-0.059705283
0.0012667,-0.057608701
0.0012680,-0.046693118
0.0012693,-0.033013139
0.0012707,-0.019738545
0.0012720,-0.006617302
0.0012733,0.005959131
0.0012747,0.01942189
0.0012760,0.029335585
0.0012773,0.043098757
0.0012787,0.051640132
0.0012800,0.061965752
0.0012813,0.069833156
0.0012827,0.067539216
0.0012840,0.067495307
0.0012853,0.068729733
0.0012867,0.055553491
0.0012880,0.043575456
0.0012893,0.021864664
0.0012907,-0.002819352
0.0012920,-0.022947034
0.0012933,-0.055358367
0.0012947,-0.086067625
0.0012960,-0.113031607
0.0012973,-0.143703747
0.0012987,-0.166518028
0.0013000,-0.19321788
0.0013013,-0.205346963
0.0013027,-0.202111461
0.0013040,-0.197575529
0.0013053,-0.181059526
0.0013067,-0.145158491
0.0013080,-0.104012033
0.0013093,-0.056581075
0.0013107,-0.002451117
0.0013120,0.060217906
0.0013133,0.126674839
0.0013147,0.185484991
0.0013160,0.246621971
0.0013173,0.305715345
0.0013187,0.352132005
0.0013200,0.386572057
0.0013213,0.410792691
0.0013227,0.422579286
0.0013240,0.418630214
0.0013253,0.391456449
0.0013267,0.351513199
0.0013280,0.292520008
0.0013293,0.225417536
0.0013307,0.15149095
0.0013320,0.071695503
0.0013333,-0.013547096
0.0013347,-0.099569069
0.0013360,-0.175476163
0.0013373,-0.25057674
0.0013387,-0.314500762
0.0013400,-0.360337395
0.0013413,-0.393880018
0.0013427,-0.41422576
0.0013440,-0.41621944
0.0013453,-0.411806905
0.0013467,-0.38849637
0.0013480,-0.345608777
0.0013493,-0.300051807
0.0013507,-0.238283948
0.0013520,-0.176025231
0.0013533,-0.118594952
0.0013547,-0.058670809
0.0013560,-0.004910616
0.0013573,0.039791718
0.0013587,0.082853083
0.0013600,0.114170885
0.0013613,0.138025636
0.0013627,0.153904158
0.0013640,0.157485414
0.0013653,0.157739943
0.0013667,0.149700092
0.0013680,0.136698812
0.0013693,0.120900143
0.0013707,0.097141103
0.0013720,0.070759984
0.0013733,0.046297656
0.0013747,0.024906026
0.0013760,0.002481958
0.0013773,-0.01886113
0.0013787,-0.0349376
0.0013800,-0.044113524
0.0013813,-0.051926442
0.0013827,-0.060102728
0.0013840,-0.058439781
0.0013853,-0.057692313
0.0013867,-0.05395
0.0013880,-0.044592384
0.0013893,-0.032540319
0.0013907,-0.021932587
0.0013920,-0.01608531
0.0013933,-0.001989288
0.0013947,0.009237283
0.0013960,0.015722712
0.0013973,0.026453018
0.0013987,0.037331523
0.0014000,0.045958209
0.0014013,0.047595436
0.0014027,0.042982399
0.0014040,0.043162848
0.0014053,0.051696899
0.0014067,0.053825828
0.0014080,0.051152248
0.0014093,0.044967802
0.0014107,0.033696504
0.0014120,0.026315752
0.0014133,0.018539982
0.0014147,0.0068066
0.0014160,-0.002857125
0.0014173,-0.014799951
0.0014187,-0.029402028
0.0014200,-0.039611005
0.0014213,-0.0424236
0.0014227,-0.040068862
0.0014240,-0.042406155
0.0014253,-0.05235351
0.0014267,-0.052466581
0.0014280,-0.049111807
0.0014293,-0.041747858
0.0014307,-0.032535986
0.0014320,-0.025834567
0.0014333,-0.022247208
0.0014347,-0.017188102
0.0014360,-0.009778955
0.0014373,-0.004240525
0.0014387,0.001055874
0.0014400,0.005380868
0.0014413,0.009175147
0.0014427,0.014784461
0.0014440,0.023674912
0.0014453,0.024710268
0.0014467,0.022138234
0.0014480,0.022020576
0.0014493,0.021865303
0.0014507,0.01757448
0.0014520,0.014703934
0.0014533,0.010209793
0.0014547,0.008278003
0.0014560,0.007275659
0.0014573,0.002376441
0.0014587,-0.003055419
0.0014600,-0.007647461
0.0014613,-0.013186146
0.0014627,-0.01764052
0.0014640,-0.020081332
0.0014653,-0.025298663
0.0014667,-0.028206085
0.0014680,-0.027972253
0.0014693,-0.023967662
0.0014707,-0.021201457
0.0014720,-0.01890703
0.0014733,-0.014394082
0.0014747,-0.012111317
0.0014760,-0.00996948
0.0014773,-0.008536781
